iter	Passed	Remaining
741	6314	19214
742	6323	19210
743	6331	19199
744	6338	19187
745	6346	19175
746	6355	19168
747	6365	19163
748	6373	19154
749	6382	19147
750	6391	19140
751	6400	19134
752	6410	19128
753	6418	19118
754	6426	19108
755	6435	19101
756	6444	19095
757	6451	19081
758	6458	19070
759	6468	19065
760	6476	19054
761	6483	19042
762	6491	19032
763	6499	19022
764	6507	19011
765	6515	19001
766	6523	18992
767	6532	18984
768	6541	18976
769	6550	18970
770	6558	18960
771	6567	18953
772	6574	18941
773	6583	18934
774	6593	18929
775	6599	18915
776	6608	18908
777	6615	18893
778	6622	18882
779	6630	18872
780	6640	18866
781	6648	18856
782	6655	18844
783	6664	18836
784	6671	18825
785	6680	18816
786	6688	18808
787	6697	18801
788	6705	18791
789	6714	18784
790	6723	18775
791	6730	18764
792	6738	18753
793	6746	18742
794	6753	18731
795	6760	18720
796	6768	18709
797	6775	18695
798	6782	18683
799	6791	18675
800	6800	18668
801	6809	18661
802	6818	18655
803	6826	18646
804	6835	18639
805	6844	18632
806	6852	18620
807	6859	18609
808	6864	18591
809	6872	18582
810	6881	18572
811	6891	18569
812	6912	18596
813	6933	18621
814	6943	18615
815	6951	18606
816	6960	18597
817	6969	18591
818	6977	18580
819	6985	18571
820	6994	18563
821	7003	18555
822	7011	18548
823	7019	18537
824	7027	18525
825	7034	18513
826	7043	18506
827	7052	18499
828	7060	18489
829	7067	18478
830	7075	18469
831	7084	18459
832	7092	18449
833	7099	18438
834	7108	18430
835	7116	18420
836	7124	18412
837	7133	18404
838	7141	18395
839	7151	18388
840	7159	18380
841	7169	18375
842	7178	18368
843	7186	18359
844	7196	18352
845	7205	18344
846	7214	18339
847	7225	18336
848	7234	18330
849	7243	18322
850	7251	18312
851	7259	18301
852	7266	18290
853	7277	18287
854	7285	18277
855	7293	18268
856	7303	18262
857	7312	18255
858	7320	18246
859	7330	18241
860	7340	18234
861	7347	18224
862	7356	18217
863	7364	18206
864	7373	18198
865	7382	18192
866	7389	18180
867	7398	18172
868	7406	18162
869	7415	18154
870	7423	18144
871	7432	18138
872	7442	18133
873	7451	18126
874	7460	18118
875	7468	18109
876	7477	18102
877	7486	18093
878	7495	18086
879	7503	18076
880	7510	18064
881	7518	18053
882	7526	18045
883	7535	18037
884	7544	18029
885	7552	18021
886	7561	18012
887	7569	18003
888	7579	17998
889	7588	17990
890	7623	18044
891	7659	18101
892	7677	18114
893	7689	18113
894	7699	18108
895	7707	18099
896	7716	18091
897	7725	18082
898	7733	18073
899	7741	18062
900	7749	18054
901	7757	18043
902	7766	18036
903	7775	18029
904	7783	18017
905	7792	18009
906	7801	18002
907	7808	17991
908	7816	17981
909	7826	17974
910	7835	17966
911	7843	17957
912	7850	17944
913	7857	17933
914	7865	17922
915	7871	17909
916	7881	17903
917	7891	17896
918	7898	17885
919	7907	17877
920	7916	17870
921	7925	17862
922	7933	17853
923	7942	17845
924	7949	17832
925	7956	17819
926	7963	17808
927	7971	17798
928	7977	17784
929	7985	17774
930	7991	17759
931	7998	17748
932	8007	17739
933	8014	17727
934	8023	17720
935	8031	17711
936	8041	17704
937	8048	17692
938	8055	17681
939	8063	17670
940	8071	17662
941	8080	17654
942	8089	17646
943	8097	17636
944	8106	17629
945	8114	17619
946	8121	17607
947	8131	17600
948	8138	17588
949	8146	17580
950	8155	17570
951	8163	17561
952	8170	17550
953	8179	17542
954	8186	17529
955	8193	17519
956	8202	17511
957	8210	17501
958	8218	17490
